gbifID;ScientificName;year
60665592;Homalothecium aureum;1977
575354730;Homalothecium aureum;1927
575283431;Syntrichia ruralis;1964
574984960;Syntrichia ruralis;1956
4438714085;Pleurochaete squarrosa;2023
4436426483;Pleurochaete squarrosa;2023
4436271651;Pleurochaete squarrosa;2023
4431172813;Pleurochaete squarrosa;2023
4431149699;Pleurochaete squarrosa;2023
4430772018;Pleurochaete squarrosa;2023
4430753815;Pleurochaete squarrosa;2023
4430676786;Pleurochaete squarrosa;2023
4430529210;Pleurochaete squarrosa;2023
4430510253;Pleurochaete squarrosa;2023
4430409711;Pleurochaete squarrosa;2021
4424425507;Pleurochaete squarrosa;2023
4414289610;Pleurochaete squarrosa;2023
4414081528;Pleurochaete squarrosa;2023
4407576545;Pleurochaete squarrosa;2023
4407365599;Pleurochaete squarrosa;2023
4405867348;Homalothecium aureum;1998
4405369687;Pleurochaete squarrosa;2023
436741856;Homalothecium aureum;1953
4177494527;Pleurochaete squarrosa;2023
4177026918;Pleurochaete squarrosa;2023
4177022528;Pleurochaete squarrosa;2023
4172233550;Syntrichia ruralis;2023
4171604575;Pleurochaete squarrosa;2023
4165555547;Pleurochaete squarrosa;2023
4153718481;Homalothecium aureum;2023
4145598443;Pleurochaete squarrosa;2023
4138726600;Pleurochaete squarrosa;2023
4138452566;Pleurochaete squarrosa;2022
4138387556;Pleurochaete squarrosa;2022
4138308338;Pleurochaete squarrosa;2023
4138170356;Pleurochaete squarrosa;2019
4138102432;Pleurochaete squarrosa;2021
4138058489;Pleurochaete squarrosa;2022
4137989422;Pleurochaete squarrosa;2020
4137968369;Pleurochaete squarrosa;2021
4137834887;Pleurochaete squarrosa;2022
4137730373;Pleurochaete squarrosa;2021
4137697548;Pleurochaete squarrosa;2021
4137671533;Pleurochaete squarrosa;2021
4137656407;Pleurochaete squarrosa;2021
4137655450;Pleurochaete squarrosa;2022
4137619370;Pleurochaete squarrosa;2020
4133869708;Syntrichia ruralis;2023
4130016098;Pleurochaete squarrosa;2023
4130000830;Pleurochaete squarrosa;2023
4129899877;Pleurochaete squarrosa;2023
4127269964;Pleurochaete squarrosa;2021
4127166200;Syntrichia ruralis;2023
4121287575;Pleurochaete squarrosa;2023
4121087059;Pleurochaete squarrosa;2023
4116403102;Pleurochaete squarrosa;2023
4112172767;Pleurochaete squarrosa;2023
4111971219;Homalothecium aureum;2023
4096844612;Pleurochaete squarrosa;2023
4096835116;Pleurochaete squarrosa;2023
4096443958;Pleurochaete squarrosa;2023
4091881776;Pleurochaete squarrosa;2023
4091779886;Pleurochaete squarrosa;2023
4091491638;Pleurochaete squarrosa;2023
4091421627;Pleurochaete squarrosa;2023
4080502590;Pleurochaete squarrosa;2023
4076849513;Homalothecium aureum;1969
4075959710;Pleurochaete squarrosa;2023
4075907809;Pleurochaete squarrosa;2023
4075839788;Pleurochaete squarrosa;2023
4075803003;Pleurochaete squarrosa;2023
4075694132;Pleurochaete squarrosa;2023
4062953426;Pleurochaete squarrosa;2022
4061077468;Homalothecium aureum;1975
4061075635;Homalothecium aureum;1975
4057072395;Syntrichia ruralis;2022
4054997041;Pleurochaete squarrosa;2023
4054899295;Pleurochaete squarrosa;2023
4054748057;Pleurochaete squarrosa;2023
4046503838;Pleurochaete squarrosa;2023
4046414204;Pleurochaete squarrosa;2023
4046365063;Pleurochaete squarrosa;2023
4046214727;Pleurochaete squarrosa;2023
4040811774;Homalothecium aureum;2008
4040537929;Syntrichia ruralis;2008
4040536168;Homalothecium aureum;2014
4039475497;Pleurochaete squarrosa;2023
4039332088;Pleurochaete squarrosa;2023
4039286898;Pleurochaete squarrosa;2023
4035481920;Pleurochaete squarrosa;2021
4035481919;Pleurochaete squarrosa;2021
4035481823;Pleurochaete squarrosa;2014
